date,budgetYear,description,amountUSD,srcOrganization,srcOrganizationTypes,srcLocations,srcUsageYearStart,srcUsageYearEnd,destPlan,destPlanCode,destPlanId,destOrganization,destOrganizationTypes,destGlobalClusters,destLocations,destProject,destProjectCode,destEmergency,destUsageYearStart,destUsageYearEnd,contributionType,flowType,method,boundary,onBoundary,status,firstReportedDate,decisionDate,keywords,originalAmount,originalCurrency,exchangeRate,id,refCode,createdAt,updatedAt
#date,#date+year+budget,#description+notes,#value+funding+total+usd,#org+name+funder,#org+type+funder+list,#country+iso3+funder+list,#date+year+start+funder,#date+year+end+funder,#activity+appeal+name,#activity+appeal+id+external,#activity+appeal+id+fts_internal,#org+name+impl,#org+type+impl+list,#sector+cluster+name+list,#country+iso3+impl+list,#activity+project+name,#activity+project+code,#crisis+name,#date+year+start+impl,#date+year+end+impl,#financial+contribution+type,#financial+contribution+type,#financial+method,#financial+direction,#financial+direction+type,#status+text,#date+reported,#date+decision,#description+keywords,#value+funding+total,#value+funding+total+currency,#financial+fx,#activity+id+fts_internal,#activity+code,#date+created,#date+updated
2023-11-23,,MENA WFP Contributions 2023,1991150,"Switzerland, Government of",Governments,CHE,2023,2023,,,,World Food Programme,Multilateral Organizations,Food Security,DZA,,,,2023,2023,financial,Standard,Traditional aid,incoming,single,commitment,2023-11-23,,,1800000,CHF,0.904,294618,7F-11130.02,2023-11-23,2023-11-23
2023-10-23,2023,Algeria Interim Country Strategic Plan July 2019-December 2024 and Libya Country Strategic Plan 2023-2025,885494,"Germany, Government of",Governments,DEU,2023,2023,,,,World Food Programme,Multilateral Organizations,Food Security,DZA,,,,2023,2023,financial,Standard,Traditional aid,incoming,single,commitment,2023-11-28,2023-10-23,Multiyear,1666750,EUR,1.8823,295412,PF-2-2-321.50/AFR/NOR/WFP/2023,2023-11-29,2023-12-04
2023-09-28,2023,Provision of food assistance to the most needy people in Algeria,120747,"Saudi Arabia (Kingdom of), Government of",Governments,SAU,2023,2023,,,,"Algeria, Government of",Governments,Food Security,DZA,,,,2023,2023,in kind,Standard,Traditional aid,incoming,single,paid,2023-09-20,2023-01-01,,452800,SAR,3.75,289864,2502,2023-09-28,2023-10-02
2023-09-05,2023,"Improving the health status of the Sahrawi refugees in Tindouf Camps by the provision of essential drugs and medical consumables, strengthening the management capacity of the Sahrawi health staff and the improvement of the health care waste management system",1288937,European Commission's Humanitarian Aid and Civil Protection Department,Multilateral Organizations,,2023,2023,,,,Médicos do Mundo,NGOs,Health,DZA,,,,2023,2023,financial,Standard,Traditional aid,incoming,single,commitment,2023-09-06,2023-09-05,,1200000,EUR,0.931,288866,ECHO/-NF/BUD/2023/91011,2023-09-20,2023-09-21
2023-09-04,2023,Support to UNHCR humanitarian programmes in 2023.,268528,"France, Government of",Governments,FRA,2023,2023,,,,United Nations High Commissioner for Refugees,Multilateral Organizations,,DZA,,,,2023,2023,financial,Standard,Traditional aid,incoming,single,commitment,2023-09-19,2023-09-04,,250000,EUR,0.931,288573, ,2023-09-20,2023-09-20
2023-08-29,2023,"Assisted Voluntary 
Return and 
Reintegration",275670,"Switzerland, Government of",Governments,CHE,2023,2023,,,,International Organization for Migration,Multilateral Organizations,Protection,DZA,,,,2023,2023,financial,Standard,Traditional aid,incoming,single,paid,2023-07-01,2023-05-01,,247000,CHF,0.896,287067,January-June 2023 (SEM),2023-08-29,2023-08-29
2023-08-17,2023,Protection and humanitarian assistance to refugees from Western Sahara in Tindouf refugee camps,1095290,European Commission's Humanitarian Aid and Civil Protection Department,Multilateral Organizations,,2023,2023,,,,United Nations High Commissioner for Refugees,Multilateral Organizations,Water Sanitation Hygiene,DZA,,,,2023,2023,financial,Standard,Traditional aid,incoming,single,commitment,2023-08-18,2023-08-17,,1000000,EUR,0.913,286421,ECHO/-NF/BUD/2023/91010,2023-12-13,2023-12-14
2023-07-20,2023,Improving safe and inclusive access to quality education services in the five Sahrawi refugee camps,0,European Commission's Humanitarian Aid and Civil Protection Department,Multilateral Organizations,,2023,2023,,,,United Nations Children's Fund,Multilateral Organizations,Education,DZA,,,,2023,2024,financial,Parked,Traditional aid,incoming,shared,commitment,2023-08-26,2023-07-20,Multiyear,0,EUR,0.913,288783,ECHO/-NF/BUD/2023/91007,2023-09-20,2023-10-10
2023-07-20,2023,Improving safe and inclusive access to quality education services in the five Sahrawi refugee camps,657174,European Commission's Humanitarian Aid and Civil Protection Department,Multilateral Organizations,,2023,2023,,,,United Nations Children's Fund,Multilateral Organizations,Education,DZA,,,,2023,2023,financial,Standard,Traditional aid,incoming,single,commitment,2023-08-26,2023-07-20,,600000,EUR,0.913,291218,ECHO/-NF/BUD/2023/91007,2023-10-10,2023-10-10
2023-07-17,2023,"Amélioration de l'accès à l'eau potable par l'augmentation de la production, le traitement des eaux et l'extension du réseau de distribution d'eau potable au profit des réfugiés sahraouis, installés dans les camps de Tindouf (Algérie) 2023.",0,European Commission's Humanitarian Aid and Civil Protection Department,Multilateral Organizations,,2023,2023,,,,Solidaridad Internacional,NGOs,,DZA,,,,2023,2024,financial,Parked,Traditional aid,incoming,shared,commitment,2023-07-18,2023-07-17,Multiyear,0,EUR,0.902,283900,ECHO/-NF/BUD/2023/91004,2023-07-19,2023-08-21
2023-07-17,2023,"Amélioration de l'accès à l'eau potable par l'augmentation de la production, le traitement des eaux et l'extension du réseau de distribution d'eau potable au profit des réfugiés sahraouis, installés dans les camps de Tindouf (Algérie) 2023.",709534,European Commission's Humanitarian Aid and Civil Protection Department,Multilateral Organizations,,2023,2023,,,,Solidaridad Internacional,NGOs,Water Sanitation Hygiene,DZA,,,,2023,2023,financial,Standard,Traditional aid,incoming,single,commitment,2023-07-18,2023-07-17,Multiyear,640000,EUR,0.902,286426,ECHO/-NF/BUD/2023/91004,2023-08-21,2023-08-21
2023-07-17,2023,"Education, Inclusion , Futur pour la jeunesse Sahraouie",435256,European Commission's Humanitarian Aid and Civil Protection Department,Multilateral Organizations,,2023,2023,,,,Comitato Internationale per lo Sviluppo dei Popoli,NGOs,Education,DZA,,,,2023,2023,financial,Standard,Traditional aid,incoming,single,commitment,2023-08-26,2023-07-17,,400000,EUR,0.919,286755,ECHO/-NF/BUD/2023/91005,2023-09-20,2023-09-21
2023-07-13,2023,Food and Nutrition Assistance to Refugees from Western Sahara in Algeria,5476451,European Commission's Humanitarian Aid and Civil Protection Department,Multilateral Organizations,,2023,2023,,,,World Food Programme,Multilateral Organizations,"Food Security,Nutrition",DZA,,,,2023,2023,financial,Standard,Traditional aid,incoming,single,commitment,2023-08-26,2023-07-13,,5000000,EUR,0.913,288782,ECHO/-NF/BUD/2023/91006,2023-09-20,2023-09-21
2023-07-13,2023,Algeria Tinduf camp,935104,"Norway, Government of",Governments,NOR,2023,2023,,,,United Nations High Commissioner for Refugees,Multilateral Organizations,Protection,DZA,,,,2023,2023,financial,Standard,Traditional aid,incoming,single,paid,2023-08-25,2023-07-13,,10000000,NOK,10.694,288956,QZA-23/0083-5,2023-09-20,2023-09-20
2023-06-28,2022,"Convenio entre el Gobierno de La Rioja y Médicos del Mundo para contribuir a garantizar el derecho al acceso a la salud de la población de los campamentos de personas refugiadas saharauis en Tindouf, Argelia ante el impacto de la pandemia Covid-19.
HEALTH",0,"Spain, Government of",Governments,ESP,2022,2022,,,,Médicos do Mundo,NGOs,,DZA,,,,2022,2023,financial,Parked,Traditional aid,incoming,shared,commitment,2023-06-29,2023-06-28,"Multiyear,COVID-19 Assistance",0,EUR,0.927,282756,2023/0043,2023-06-30,2023-07-03
2023-06-28,2022,"Convenio entre el Gobierno de La Rioja y Médicos del Mundo para contribuir a garantizar el derecho al acceso a la salud de la población de los campamentos de personas refugiadas saharauis en Tindouf, Argelia ante el impacto de la pandemia Covid-19.
HEALTH",6786,"Spain, Government of",Governments,ESP,2022,2022,,,,Médicos do Mundo,NGOs,Health,DZA,,,,2023,2023,financial,Standard,Traditional aid,incoming,single,commitment,2023-06-29,2023-06-28,"Multiyear,COVID-19 Assistance",6291,EUR,0.927,282793,2023/0043,2023-07-03,2023-07-03
2023-05-26,2023,UNHCR 2023 Global Appeal	Saharawis	Algeria	United Nations High Commissioner for Refugees,4100000,"United States of America, Government of",Governments,USA,2023,2023,,,,United Nations High Commissioner for Refugees,Multilateral Organizations,Protection,DZA,,,,2023,2023,financial,Standard,Traditional aid,incoming,single,commitment,2023-08-22,2023-05-26,USA/BPRM,,,,286970,SPRMCO23VC0023,2023-08-29,2023-08-29
2023-05-26,2023,"UNHCR 2023 Global Appeal	Multi-Population/Other	Loosely earmarked for operations in the Africa Region - not earmarked by country	United Nations High Commissioner for Refugees
---- USA / BPRM",0,"United States of America, Government of",Governments,USA,2023,2023,,,,United Nations High Commissioner for Refugees,Multilateral Organizations,,"BDI,CAF,CMR,COD,DZA,EGY,ETH,KEN,MLI,MOZ,MWI,NER,NGA,SDN,SOM,SSD,TCD,TUN,TZA,UGA",,,,2023,2023,financial,Parked,Traditional aid,incoming,shared,commitment,2023-08-22,2023-05-26,USA/BPRM,,,,286980,SPRMCO23VC0023,2023-08-29,2023-09-14
2023-05-26,2023,"UNHCR 2023 Global Appeal	Multi-Population/Other	Loosely earmarked for operations in the Africa Region - not earmarked by country	United Nations High Commissioner for Refugees
---- USA / BPRM",0,"United States of America, Government of",Governments,USA,2023,2023,,,,United Nations High Commissioner for Refugees,Multilateral Organizations,,"BDI,CAF,CMR,COD,DZA,EGY,ETH,KEN,MLI,MOZ,MWI,NER,NGA,SDN,SOM,SSD,TCD,TUN,TZA,UGA",,,,2023,2023,financial,Parked,Traditional aid,incoming,shared,commitment,2023-08-22,2023-05-26,USA/BPRM,,,,286981,SPRMCO23VC0023,2023-08-29,2023-09-20
2023-05-26,2023,"UNHCR 2023 Global Appeal	Multi-Population/Other	Loosely earmarked for operations in the Africa Region - not earmarked by country	United Nations High Commissioner for Refugees
---- USA / BPRM",0,"United States of America, Government of",Governments,USA,2023,2023,,,,United Nations High Commissioner for Refugees,Multilateral Organizations,,"BDI,CAF,CMR,COD,DZA,EGY,ETH,KEN,MLI,MOZ,MWI,NER,NGA,SDN,SOM,SSD,TCD,TUN,TZA,UGA",,,,2023,2023,financial,Parked,Traditional aid,incoming,shared,commitment,2023-08-22,2023-05-26,USA/BPRM,,,,286982,SPRMCO23VC0023,2023-08-29,2023-09-14
2023-05-26,2023,"UNHCR 2023 Global Appeal	Multi-Population/Other	Loosely earmarked for operations in the Africa Region - not earmarked by country	United Nations High Commissioner for Refugees
---- USA / BPRM",0,"United States of America, Government of",Governments,USA,2023,2023,,,,United Nations High Commissioner for Refugees,Multilateral Organizations,,"BDI,CAF,CMR,COD,DZA,EGY,ETH,KEN,MLI,MOZ,MWI,NER,NGA,SDN,SOM,SSD,TCD,TUN,TZA,UGA",,,,2023,2023,financial,Parked,Traditional aid,incoming,shared,commitment,2023-08-22,2023-05-26,USA/BPRM,,,,286983,SPRMCO23VC0023,2023-08-29,2023-09-14
2023-05-09,2023,Humanitarian initial allocation 2023,968898,"Sweden, Government of",Governments,SWE,2023,2023,,,,Oxfam GB,NGOs,,DZA,,,,2023,2023,financial,Standard,Traditional aid,incoming,single,commitment,2023-05-10,2023-05-09,,10000000,SEK,10.321,277426,,2023-05-11,2023-05-15
2023-05-01,2023,Multisector humanitarian response in Algeria,294985,"Canada, Government of",Governments,CAN,2023,2023,,,,United Nations High Commissioner for Refugees,Multilateral Organizations,"Emergency Shelter and NFI,Protection",DZA,,,,2023,2023,financial,Parked,Traditional aid,incoming,single,paid,2023-04-28,2023-03-08,,400000,CAD,1.356,276881,P011382001,2023-05-02,2023-05-02
2023-04-18,2023,"HAC-MENARO
-- Algeria: Global Rapid Response Fund: Preventing and Responding to COVID-19
-- USAID
-- Health",1000000,"United States of America, Government of",Governments,USA,2023,2023,,,,United Nations Children's Fund,Multilateral Organizations,Health,DZA,,,,2023,2023,financial,Parked,Traditional aid,incoming,single,paid,2023-11-14,2023-04-18,"USAID,COVID-19 Assistance",,,,293188,SM230251          7200GH21IO00004,2023-11-14,2023-11-14
2023-04-17,2023,PREVENT AND TREAT MALNUTRITION (SCHOOL MEALS),536481,"France, Government of",Governments,FRA,2023,2023,,,,World Food Programme,Multilateral Organizations,Nutrition,DZA,,,,2023,2023,financial,Standard,Traditional aid,incoming,single,commitment,2023-04-24,2023-04-17,,500000,EUR,0.932,276132,,2023-04-25,2023-06-20
